public_incident_id,field_name,source_organization,title,document_type,url,publication_date,retrieved_at,language,source_tier,short_evidence_excerpt
TR-MINE-2024-0001,incident_start_datetime,Wikipedia (en),Çöpler mine disaster,other,https://en.wikipedia.org/wiki/%C3%87%C3%B6pler_mine_disaster,,2026-07-14T10:07:31Z,en,3,
TR-MINE-2024-0001,latitude,Wikidata,Wikidata item Q124522721: Erzincan maden kazası,other,https://www.wikidata.org/wiki/Q124522721,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2024-0001,longitude,Wikidata,Wikidata item Q124522721: Erzincan maden kazası,other,https://www.wikidata.org/wiki/Q124522721,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2024-0001,province_code,Wikipedia (tr),İliç maden kazası,other,https://tr.wikipedia.org/wiki/%C4%B0li%C3%A7_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2025-0001,canonical_title_en,Wikidata,Wikidata item Q134584262: Zara maden kazası,other,https://www.wikidata.org/wiki/Q134584262,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2025-0001,canonical_title_tr,Wikidata,Wikidata item Q134584262: Zara maden kazası,other,https://www.wikidata.org/wiki/Q134584262,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2025-0001,date_precision,Wikidata,Wikidata item Q134584262: Zara maden kazası,other,https://www.wikidata.org/wiki/Q134584262,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2025-0001,fatalities_current,Wikipedia (tr),Zara maden kazası,other,https://tr.wikipedia.org/wiki/Zara_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2025-0001,incident_start_datetime,Wikidata,Wikidata item Q134584262: Zara maden kazası,other,https://www.wikidata.org/wiki/Q134584262,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2025-0001,latitude,Wikidata,Wikidata item Q134584262: Zara maden kazası,other,https://www.wikidata.org/wiki/Q134584262,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2025-0001,longitude,Wikidata,Wikidata item Q134584262: Zara maden kazası,other,https://www.wikidata.org/wiki/Q134584262,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2025-0001,province_code,Wikipedia (tr),Zara maden kazası,other,https://tr.wikipedia.org/wiki/Zara_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
