code,label_tr,latitude,longitude,source,notes
44,Malatya,38.34806,38.31778,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
45,Manisa,38.74944,28.12278,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
46,Kahramanmaraş,37.89833,36.97111,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
47,Mardin,37.31775,40.71533,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
48,Muğla,37.03028,28.50639,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
49,Muş,39.00056,41.82722,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
50,Nevşehir,38.78167,34.68806,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
51,Niğde,37.91583,34.69361,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
52,Ordu,40.81139,37.54056,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
53,Konya,37.87250,32.49194,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
53,Rize,40.93167,40.84778,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
54,Sakarya,40.69722,30.45667,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
55,Samsun,41.20444,36.00722,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
56,Siirt,37.93000,42.27028,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
57,Sinop,41.60917,34.90194,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
58,Sivas,39.75028,37.01611,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
59,Tekirdağ,40.97778,27.51833,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
60,Tokat,40.35278,36.56444,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
61,Trabzon,40.78056,39.81222,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
62,Tunceli,39.21472,39.47139,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
62,Uşak,38.52389,29.34194,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
63,Şanlıurfa,37.25417,39.04250,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
